signal_key,signal_label,region,datetime,value,unit,temporality,zone,dataCenterProvider,dataCenterRegion,endpoint_used,field_used
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 06:55:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 07:00:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 07:05:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 07:10:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 07:15:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 07:20:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 07:25:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 07:30:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 07:35:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 07:40:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 07:45:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 07:50:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 07:55:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 08:00:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 08:05:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 08:10:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 08:15:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 08:20:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 08:25:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 08:30:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 08:35:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 08:40:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 08:45:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 08:50:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
